year,text,birthdate
2010,"

 Браслеты на резинках.     Материал: цернит, двойной спандекс, лак.

",1980
2010,"

       Материал: цернит, медная и серебристая проволока, микробисер, фурнитура, лак.

",1980
2010,"

            Материал: цернит, серебристая проволока, фурнитура, микробисер, лак.

",1980
2010,"

 Вот новый пушистик... для меня довольно грандиозный, потому как начинаю дружить еще и с бисером Недавно родились на свет еще два браслета: взрослый и детский    Материал: цернит, посеребренная проволока, фурнитура, бисер, лак.

",1980
2010,"

    Материал: цернит, фимо, лак.

",1980
2010,"

  А точнее два друга ) Высота без швенз около 4см.  Материал: цернит, серебристая проволока, фурнитура, лак.

",1980
2010,"

 Большое спасибо за теплые слова! Но до природы мне далеко :-)


",1980
2010,"

 давайте!


",1980
2010,"

 Сборка этой лили мягко сказать ""ковыляла"", да и проволоки вокруг цветка было многовато да еще и кривенькой. Вот решилась на ""реставрацию"" цветка и легкому опушистиванию.  Материал: цернит, серебристая проволока, бисер, фурнитура, лак.

",1980
2010,"

 Первая брошь... Тычинки армировала проволокой, тоньше пока не получается, но надо стараться. Не знаю как будет носиться.... обещали рассказать.      Материал: bebik, фурнитура.

",1980
2011,"

 Здорово выглядит! красотища


",1980
2010,"

 Ух тышка! Прелестный ободок! А я какая-то синюшная лягушенция 


",1980
2010,"

 Ваши работы вызывают необыкновенный восторг!


",1980
2011,"

 Красотища! Любо-дорого смотреть!


",1980
2010,"

 Домики шикарные. НО вот уже нашла плагиат  хотя наверняка это не первая сотня копирований Ваших работ и наверняка не последняя ...


",1980
2010,"

 хочется помылиться и мне 


",1980
2010,"

 отличный урок! Добавила Вас в друзья. Хочется увидеть продолжение.


",1980
2010,"

 УХ ты! Столько изящества и нежности! Восторг!!! До такой гармонии мне еще жить и жить....


",1980
2010,"

 Еще можно на субботу записаться? есть билетики?


",1980
2011,"

 Маша, а ты только листы нам покажешь? может формочки для микро выпечки тоже можно ждать?


",1980
2010,"

 Присоединюясь ко всем выше написанным восторгам! Просто..... слов нет! Очень хочется слепить дочурке (хотя бы корявенькую) так что если Вы выложите этап создания следующей красавицы буду беспредельно благодарна!


",1980
2011,"

 уж ты! Я про манную крупу почему-то не думла ))) пушистые они как настоящие ))


",1980
2010,"

 Очень здорово! А в браслете и во вторых бусах это нитки мулине (например) вокруг проволоки обматывала?


",1980
2011,"

 Безумно интересно вы проволоку закручиваете )) необычно и захватывающе.... 


",1980
2010,"

Спасибо :-)
",1980
2011,"

:) работы продаются, но некоторые повторить не представляется возможным из-за отсутствия времени....
",1980
2010,"

Спасибо. Приятно что приятно ))
",1980
2010,"

написала Вам на почту
",1980
2010,"

Большое спасибо! Начиналось все с сережек )))
",1980
2010,"

Спасибо :)
",1980
2010,"

Большое спасибо за теплые слова!

Купить можно, написала в личку.
",1980
2010,"

дадада ))) последнй тут еще нету (которая на заколке)
",1980
2010,"

Ой! Большое Спасибо! пару часов их лепила :-))
",1980
2010,"

Если листочки сами будут цепляться то можно и без геля, просто когда я придаю лепесткам форму то сразу собрать их в цветок не получается и возвращаясь я к этому процессу гораздо позже когда пластика уже подсохла немного.
",1980
2010,"

Пожалуйста! 

",1980
2010,"

спасибочки!
",1980
2010,"

тыкала тыкала тыкала..... потом отдыхал и опять тыкала и крутила и крутила и тыкала и под разными углами ))) тоненькой иголочкой ))
",1980
2010,"

Спасибо!

Присоединяюсь!
",1980
2010,"

Спасибо!Приятно что нравится!
",1980
2010,"

Спасибо. Только она все же дубовая ))
",1980
2010,"

Спасибо!
",1980
2010,"

Еще одни миленькие сережки с первоцветами









Размер сережек около 2*3см 


А это подснежники с талым снегом






Материал: Цернит, фимо, Pearl Ex, посеребренная проволока и фурнитура, лак.
",1980
2010,"

хихи... в каком сообществе то? ну дык это ж полупрозрачный пластик покрытый лаком смешанным с белым перлесом ))) и ничего сверхъестественного ))
",1980
2010,"





двусторонние сережки 





Материал: Цернит, фимо,посеребренная проволока, стеклянные бусины, лак,
",1980
2011,"

Спасибо! 

На агаты не метила )) хорошие у Вас ассоциации!

",1980
2011,"

Спасибо! 

Полировала вручную, хотя есть у меня граверчик, но как-то не складывается им полировать...

В этих кулонах не замешивала.... я сделала слоенный пирог из ПП и цветной, потом нарезала тонкими слоями и на паста машинке до самого тонкого раскатывала, потом оборачивала ей основу которая была обклеена поталью, потом форму придавала (растягивала и т.п.) и при этом тонкий верхний слой еще утончался и поталь трескалась... а там гед в ходе формирования формы ПП пришлось уплотнится, но и поталь не так просвечивается.... так что получается чем тоньше тем лучше.... ну или вот можно при при формировании слоенного пирога ПП сластику уже перемешанную с поталью использовать..... 

Если еще есть вопросы (может я как-то не совсем понятно написала....) отвечу 


Муж сказал ""что это за зубастая собака?"" :) Надо было ужи делать не такие округлые и зубы пошире и..... много еще чего. Но я сделала ему пряничного зерга, только без тонировки (нет у меня еще нормальной пастели), так что ему тоже перепали пряники )))

",1980
2011,"

Спасибо за щедрые слова ))) хотя я бы их назвала ""не плохие"" ))
",1980
2011,"

а я именно так и поняла )) т.е. так как надо ))

Спасибо за поздравления!
",1980
2011,"

И Вам спасибо )))

Про перепекание ничего сказать не могу, я такое не тестировала... проволоку использовала раньше (да и сейчас тоже) вроде держится и не ломается и не крошится... а вот леску раньше использовалась боялась потому что думала что оплавится... и вдруг меня осенило ее проверить запеканием без всякой пластики, и О чудо она не растеклась ))) потом протестировала с пластикой и тоже все ОК. Поэтому думаю надо проверить леску с которой хотите работать... у меня леска не на бобине а просто смотана калачиком в прозрачном пакетике, а сверху картонная полоска бумаги с названием и этикеткой (которую я давно выкинула и точно марку подсказать)
",1980
2011,"

Спасибо и не за что)))
",1980
2011,"

Пожалуйста! Хорошо что пригодился... а я вот про клей сразу подумала когда у меня на леске пластика не хотела держаться (я ее к леске а она все время к рукам липнет), и я тут подумала ""Что такое? у меня руки клеем что ли намазаны?"" и тут то и придумала попробовать клеем мазать... )))
",1980
2011,"

Спасибо за все ))

про конкурс не уверена что успею что-то )))
",1980
2011,"

про наросты Вы совершенно правы! я так и делала т.е тыкала отверстия, только это была проба и делала молд из ""серой пластики"", а вообще я думала что можно распечатать лист лилии и отпечатать его на чистой белой пластике чтоб уже поточнее процарапать там где надо и продырявить... для моих колбасок сойдет пока такой потому как в точечки я все равно не попаду, а вот если делать белую и потом ее тонировать или красить то хорошо бы по качественней подойти к молду. А а можно и молд уже сделать с волнистыми краями чтоб потом не травмировать рельеф на лепестке придавая форму.... а вот про живой лепесток лили могу сказать что наверняка раздавятся, тут надо чтоб пластика была ооочень пластичной, у меня например снять молд с зеленого листика получалось но часть рисунка раздавливалась... есть спец пластика для снятия форм... а может мжно герметиком селиконовым попробвать, но не уверена что лепесток не скукожиться при этом, а может лепесток сначала приклеить к картону (например) каким нибудь крахмалом или желатином или еще чем нибудь натуральным ( ... )
",1980
2011,"

Большое спасибо! Тяжело они мне давались ))
",1980
2011,"

спасибо )) первую я делала второй по очередности )) там и тычинки на леске потоньше и пестик не пришлось присыпать микробисером дабы скрыть кое какие огрехи возникшие при завершении )) да и белый цвет во второй лили почему-то при долгом прибывании в печке пожелтел ((( весь желтый цвет в ней на самом деле белый, вот какой она должна быть 
",1980
2011,"

Спасибо!

Хорошие там цветочки ))
",1980
2011,"

Не я не видела про желатин )) надо будет поискать... и Вам спасибо за наводку ))
",1980
2011,"

большое спасибо! но его придется переделать... надо заменить полимерные бусинки на стеклянные, подруге хочется более представительское )))
",1980
2011,"

Спасибо! Приятно что нравится ))
",1980
2011,"

паста машина )))
",1980
2011,"

Вот такой вот ""овощной"" браслетик :)




собран на резинке





Материал: Цернит, фимо, лак.
",1980
2011,"

Да уж )) веселенький браслетик вышел )) Спасибо!
",1980
2011,"

Вы угадали ))) это у меня первая колбаска листа маранты (получилась с небольшим сходством), надо будет еще одну сделать ... 

Спасибо
",1980
2011,"






Ребенок пристроен в садик.... на основную работу пока не вышла... ну вот пара идентичных ободков, как продолжение освоения ""стареющих"" колбасок ))





Материал: Цернит, фимо, микробисер, металлическая основ.
",1980
2011,"





Пыталась сделать небольшой урок... фотик подвел ( делала снимки на телефон и они ужасны..), но тем не менее разобрать возможно. Скоро обработаю и выложу (если кому интересно)








Материал: Цернит, фимо, микробисер, металлическая основа.
",1980
2011,"

Спасибо )
",1980
2012,"

Спасибо! Листья у анютки которые с рисунком это колбаска, а цветок орхидеи крашенный.
",1980
2012,"

Спасибо за теплые слова ))
",1980
2014,"










Немного новых работ... Две подвески с лилиями, одна с цветами анютины глазки. Заколки с ромашками и орхидеей.
















;
",1980
2014,"

Спасибо Вам!
",1980
2016,"

Спасибо))) ..... осваиваю ""холодный фарфор"", но уверенна вы и так поняли ...
",1980
2009,"










Материал: цернит, стеклянные бусы, фурнитура, лак.
",1980
2010,"

Большое спасибо! Я только учусь )
",1980
2010,"

Спасибо! Цветочки из колбасы без фона, ну немного после нарезания придавала форму )
",1980
2010,"

Спасибо! Я только учусь )))
",1980
2010,"

Да, проволока не ахти.... пока не могу купить инструментов специальных, работаю так сказать домашними строительными... но плохому танцору всегда ноги мешают ))))))
",1980
2010,"

написала в личку
",1980
2010,"

) Висят конфетки... нельзя скушать... 

Спасибо
",1980
2010,"

Спасибо )))
",1980
2010,"





Диаметр кулона около 5,5 см.




Размер кулона 5-5,5 см.





Материал: цернит, серебристая проволока, фурнитура, лак.
",1980
2010,"

Спасибо! Вот все проволоку мучаю )
",1980
2010,"

У меня тоже много всякого по бисеру, только вот перелопатить не могу никак, так на поверхности плаваю ))
",1980
2010,"

Болбшое спасибо! Очень приятно. Тепло уже скоро! Я с дочкой жду не дождусь..... так тяжело гулять во всех этих свитерах и телогрейках )
",1980
2010,"




Прикупила польской пластики....


Цена довольно низкая (17гр за 10р, 250гр-150р), но есть свои нюансы работы. Когда разомнется липнет к рукам, а если одеть перчатки то все довольно неплохо. Очень порадовала прочность после запекания (испытаний конечно не проводила, но кажется что прочнее потому, что например пластина запеченного фимо можно немного погнуть а польскую мне не удалось, побоялась поломать). И еще неудобно то, что когда сварганишь колбасу она довольно мягкая так сказать на грани текучести, то стоит ей полежать минут 10 БЕЗ холодильника так она сразу застывает до пригодного состояния для нарезки. А вот Липкость помогает когда составляешь что нибудь и гель не нужен (если конечно вдруг не дернется рука и нечаянно упадет не на свое место). А вот полежавшие детальки какой либо задумки надо обязательно сажать на гель ибо у них появляется какое-то резиноватенькое свойство, хотя мне оно понравилось.... вот я брала свой цветочек в руки еще не запеченный и никаких тебе деформаций и отпечатков. 

Делать тычинки тоньше не было охота (делался он ночью), а вот доделать и обжечь (для пробушки) БЫЛО охота :-) Размер цветочка около 5см. 


Ну вот прошло время, колбаски полежали полежали.... да и работать с ними стало невыносимо тяжко..... 


Материал: Bebik.
",1980
2010,"

обычный переход цвета только полоска складываться не цилиндром а прямоугольником, это должна быть приличная трость по размеру, т.к. ее вытягивать надо чтоб резкий перепад цвета в сечени исчез (ну или складывать этот переход из очень длинной и очень тоненькой полосочки), потом подминается приминается для придания формы пол лепестка, потом режется на дольки так чтоб можно было вставить жгутики для точечек в срезе, затем несколько тоненьких пластов похожего с переходом цвета для того чтоб может как-то жилки лепестка проглядывались, но у меня не всегда они проглядываются после уминания, боюсь что будут толстыми а в итоге......., затем вытягивается немного и режется на две части и стыкуется целый. Для маленьких цветков желательно и колбаски делать небольшие чтоб можно было предугадать то что будет после уминания (это из собственного неумения рассчитать то что может потом получиться)...... Я ведь тоже на крокусный конкурс первый раз делала работенку ))))
",1980
2010,"

Старалась, но однозначно бывает и гораздо лучше ))
",1980
2010,"

Кончилась колбаска такой лили... написала в личку
",1980
2010,"

Но есть один ньюанс с бебиком.... колбаски которые полежат у меня дубенеют (( ОООчень больших усилий стоит его размять не испортив колбаску ((( а вотом цветок слепить еще УУУйма мучений!!! Так что если будете делать колбасу то лепить из нее надо буквально сразу
",1980
2010,"

Да это переход цвета и вставленные жгутики для точек. А что такое ""кейна""? Просто есть еще пару махинаций может это и называется ""кейна""?
",1980
2010,"

Ну тогда понятно )

а Пара махинаций это в переход цвета вставлять тоненькие пластинки пластики для прожилок в сечении
",1980
2010,"

Большое спасибо! Приятно что нравится!
",1980
2011,"

ООчень красиво! Ощущение такое что это волшебное зеркало для девочки которое должно исполнять желания.
",1980
2009,"

Здравствуйте! Скажите у вас в магазине бывает медная цветная проволока толщиной 0,8?
",1980
2010,"

Примите, пожалуйста, и от меня Поздравления и Восхищения Вашими украшениями!
",1980
2010,"

Восхитительно божественное украшение! Тоже люблю завитушки, но только они меня еще не любят )))
",1980
2010,"

И в мелочах у Вас все очень нежное и красивое! А у меня доченька Милла, только ей год и девять и она пока бусики и браслетики рвет ))
",1980
2011,"

Восхитительный комплект!! ОН такой нежно-сладкий! Как всегда Шедеврально! Абсолютная гармония во всем!
",1980
2011,"

Живые цветы! Этот комплект надо хранить в воде, чтоб цветы не завяли!!! Потрясающе!!
",1980
2010,"

Красиво!
",1980
2010,"

Очень интересно выглядит!
",1980
2010,"

очень интересный и оригинальный стручочек.... домик опустел, но детишки вырастят свои стручки )))...
",1980
2010,"

Просто восторг! И без пузырьков и тАк аккуратно (у меня из эпоксидки вообще ничего хорошего не получается)
",1980
2007,"

Красота! Особенно пушистик, дорога с ярко-гуашевыми деревьями и листочек. 

Толко пауков пожалуйста не выставляй. Надеюсь их у тебя и неть :-)
",1980
2010,"

О! Какая прелесть! Очень интересный! Я и не видала таких на булавках. Это Ваша идея?
",1980
2011,"

Здравствуйте! С наступившим новым годом!

Есть ли в наличии цепочки?

",1980
2010,"

Встреча у метро а потом поход месту назначения ))) или Вы пришлете адрес куда надо добраться?
",1980
2011,"

СОЧНО выглядит! А вот на картинке где два зернышка там одно съедобное?
",1980
2016,"

Заколка-автомат с цветком орхидеи фаленопсис и бутонами. Работа выполнена из самозастывающей полимерной глины (modena clay).  Раскрашена масляными красками и покрыта лаком. Цветок не хрупкий, гнется и приятен на ощупь.




Размер мет. основы около 8см. Размер цветка около 7 см. Общая длина изделия около 11см. Цена 750р
",1980
2011,"

Необыкновенное и красивое! любуюсь...
",1980
2011,"

Прекрасно! У Вас такие разносторонние работы!!! Восторг!
",1980
2011,"

Круто! Все не перестаю любоваться Вашим кручением!
",1980
2006,"

 и мне понравился проект. Случай редкий, признаюсь

 (  ...  )

",1985
2006,"

 уже и посты о проектах переползли к Чарли :) Во как...


",1985
2006,"

 Какая песня... И все-таки я бы не стала вставлять ее в биографию... Но сказано здорово.


",1985
2006,"

 Я сегодня заходила на работу к себе. И Николай Николаевич показал мне МОЙ торговый комплекс - эскизный проект которого я делала - вставленный в общий компьютерный фильм превьюшку про базу отдыха. Вот ведь! Прям чуть не прослезилась... Это надо ж, его не забыли, не переделали... он такой же и есть.. .стоит там.. Блииин... ваще! А еще показал модельку домики, планчики-фасадики которого были собственноручно мною вычерчены по эскизам.  Не, но про общ.центр - это я прям не ожидала, я даже спрашивать боялась, что с ним сталось, с моим проектиком... Казалось, он канул в лету..

",1985
